CONTROL_NUMBER,MONTHS_SINCE_ORIGIN,DONOR_AGE,IN_HOUSE,URBANICITY,SES,CLUSTER_CODE,HOME_OWNER,DONOR_GENDER,INCOME_GROUP,PUBLISHED_PHONE,OVERLAY_SOURCE,MOR_HIT_RATE,WEALTH_RATING,MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,PCT_OWNER_OCCUPIED,PER_CAPITA_INCOME,PCT_ATTRIBUTE1,PCT_ATTRIBUTE2,PCT_ATTRIBUTE3,PCT_ATTRIBUTE4,PEP_STAR,RECENT_STAR_STATUS,RECENCY_STATUS_96NK,FREQUENCY_STATUS_97NK,RECENT_RESPONSE_PROP,RECENT_AVG_GIFT_AMT,RECENT_CARD_RESPONSE_PROP,RECENT_AVG_CARD_GIFT_AMT,RECENT_RESPONSE_COUNT,RECENT_CARD_RESPONSE_COUNT,MONTHS_SINCE_LAST_PROM_RESP,LIFETIME_CARD_PROM,LIFETIME_PROM,LIFETIME_GIFT_AMOUNT,LIFETIME_GIFT_COUNT,LIFETIME_AVG_GIFT_AMT,LIFETIME_GIFT_RANGE,LIFETIME_MAX_GIFT_AMT,LIFETIME_MIN_GIFT_AMT,LAST_GIFT_AMT,CARD_PROM_12,NUMBER_PROM_12,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_FIRST_GIFT,FILE_AVG_GIFT,FILE_CARD_GIFT
00033518,101,51,0,R,2,47,H,F,7,0,P,0,,1485,645,93,23549,0,27,33,30,1,1,S,4,0.35,8.71,0.364,8.75,7,4,19,23,58,108,13,8.31,18,20,2,10,6,14,19,91,8.31,6
00033524,101,,0,R,3,51,U,U,3,1,M,0,3,308,339,81,11803,0,33,33,18,1,1,S,2,0.158,10.67,0.111,12,3,1,19,25,68,95,14,6.79,9,12,3,10,6,14,19,93,6.79,6
00033525,77,62,0,R,2,47,U,F,2,0,P,0,2,440,185,72,9983,1,24,28,36,1,0,A,2,0.227,20,0.273,20,5,3,20,23,60,330,19,17.37,14,20,6,20,6,13,20,76,17.37,8
00033545,17,33,0,R,2,47,H,M,5,0,P,0,,488,268,81,11902,0,32,31,32,0,0,N,2,0.25,12.5,0.5,12.5,2,2,16,8,19,25,2,12.5,5,15,10,15,6,14,16,21,12.5,2
00033922,29,57,0,S,2,17,H,M,6,1,B,3,,651,277,49,13724,10,37,35,23,0,0,A,1,0.143,18,0.333,18,2,2,22,9,23,36,2,18,6,21,15,21,4,10,22,29,18,2
00034068,29,32,0,C,2,26,H,M,4,1,B,6,,889,297,39,16083,26,34,49,28,1,0,A,4,0.429,6.83,0.429,8,6,3,15,11,26,47,7,6.71,5,10,5,5,6,13,15,28,6.71,3
00034087,77,73,0,C,2,27,H,M,1,1,B,4,6,430,215,78,10439,2,52,44,35,0,0,A,1,0.095,15,0.1,15,2,1,21,21,56,98,8,12.25,10,15,5,15,6,14,21,68,12.25,3
00034098,125,74,0,C,2,25,H,M,1,0,B,6,6,913,223,47,21101,13,55,51,29,1,1,S,2,0.15,14.67,0.222,15.5,3,2,20,29,68,112,11,10.18,11,16,5,16,6,15,20,119,10.18,8
00034188,17,48,0,T,2,39,H,F,5,1,B,4,,678,320,77,28097,5,44,45,19,0,0,F,1,0.2,20,0.5,20,1,1,17,5,13,20,1,20,0,20,20,20,4,10,17,17,20,1
00034246,77,47,0,T,1,35,H,F,5,1,B,4,7,959,368,76,17192,22,47,61,21,0,0,A,1,0.071,16,0,0,1,0,18,16,47,64,5,12.8,6,16,10,16,4,11,18,77,12.8,3
00034475,89,67,0,R,2,46,H,M,5,0,P,0,5,696,277,85,12415,1,47,32,39,0,0,A,1,0.176,24,0.222,26,3,2,21,22,55,102,5,20.4,17,27,10,27,6,15,21,88,20.4,4
00034592,17,48,0,S,2,18,H,F,3,0,B,0,,1205,511,86,20125,1,40,41,31,0,0,F,1,0.2,20,0,0,1,0,16,6,14,20,1,20,0,20,20,20,5,12,16,16,20,0
00034646,53,,0,S,1,12,U,U,,1,N,0,9,1171,483,86,19553,1,37,42,32,0,0,A,1,0.111,25,0.125,30,2,1,22,15,37,58,4,14.5,27,30,3,30,6,13,22,51,14.5,3
00034726,77,,0,S,2,17,U,F,,1,N,0,,1381,239,42,12416,0,38,48,17,1,0,A,2,0.118,16,0.143,15,2,1,15,17,52,63,5,12.6,12,17,5,17,4,13,15,76,12.6,4
00034767,137,66,0,R,3,51,H,F,3,1,B,4,1,463,199,84,8771,0,34,27,43,1,1,S,4,0.333,7.43,0.273,8,7,3,18,33,86,239,44,5.43,7,10,3,8,5,12,18,127,5.43,20
00035027,101,,0,T,1,35,H,M,2,1,B,2,,1595,556,87,22149,1,35,51,14,1,0,E,1,0.125,25,0.25,25,1,1,15,19,39,95,8,11.88,22,25,3,25,3,10,15,100,11.88,5
00035043,41,54,0,C,1,24,H,M,5,1,P,0,9,1357,521,92,20642,3,33,44,20,1,0,A,2,0.176,15.67,0.222,16,3,2,17,15,34,52,4,13,12,17,5,17,6,13,17,44,13,3
00035181,125,65,0,S,1,12,U,M,,0,N,0,8,1395,471,80,28892,0,32,30,16,1,5,A,1,0.136,24,0.182,26,3,2,18,33,80,334,16,20.88,32,34,2,32,6,13,18,121,20.88,12
00035325,125,79,0,C,2,26,H,M,4,1,B,20,,833,277,41,14317,0,41,36,38,1,0,E,1,0.5,30,0,0,1,0,15,17,48,85,7,12.14,25,30,5,30,3,10,15,119,12.14,6
00035370,29,52,0,C,1,23,U,U,,0,N,0,,2500,154,9,17622,4,23,7,72,0,0,A,3,0.278,13.8,0.333,11.33,5,3,17,13,31,69,5,13.8,15,20,5,17,6,13,17,33,13.8,3
00035423,113,80,0,S,2,20,H,F,2,1,B,12,,919,299,83,21283,0,34,28,44,1,13,A,1,0.1,16,0,0,2,0,18,27,69,87,13,6.69,14,17,3,17,6,13,18,113,6.69,8
00035953,17,57,0,S,2,18,H,F,1,1,M,11,,684,347,83,12145,3,36,42,17,0,0,N,3,0.286,10,0.5,10,2,2,17,8,18,30,3,10,0,10,10,10,6,13,17,21,10,2
00036008,137,59,0,C,1,22,U,F,1,1,M,0,5,950,304,64,18934,5,62,19,60,1,1,S,2,0.167,11,0.222,11.5,3,2,24,26,55,114,14,8.14,7,12,5,10,6,13,18,104,8.14,10
00036107,29,71,0,C,3,30,H,F,2,0,P,0,,739,217,46,11602,2,31,29,25,1,0,A,4,0.533,6.25,0.625,7,8,5,17,12,32,61,10,6.1,6,11,5,6,6,14,15,32,6.1,5
00036228,113,55,0,C,2,27,H,F,2,1,B,3,4,667,268,64,14046,1,44,38,33,1,21,A,1,0.091,25,0,0,2,0,17,28,70,125,9,13.89,21,25,4,25,6,13,17,113,13.89,5
00036392,53,79,0,C,2,29,H,F,2,0,P,0,3,617,251,96,13896,0,71,6,83,0,0,A,4,0.333,13.17,0.4,13.5,6,4,18,17,44,120,11,10.91,10,15,5,13,6,16,18,53,10.91,6
00036395,89,81,0,C,2,29,H,M,7,0,B,11,9,885,345,41,30256,0,40,20,71,1,1,S,4,0.3,13.5,0.364,15.25,6,4,17,26,71,222,20,11.1,17,20,3,15,6,16,17,89,11.1,11
00036450,65,59,0,U,4,10,U,M,1,0,P,0,,694,203,53,11760,0,26,28,45,1,3,A,1,0.182,13.75,0.364,13.75,4,4,20,22,57,178,19,9.37,15,20,5,13,6,13,20,63,9.37,11
00036457,29,59,0,U,3,09,U,F,4,0,P,0,,792,175,41,17583,0,28,0,46,0,0,A,3,0.214,10,0.429,10,3,3,22,11,24,36,4,9,4,10,6,10,6,12,22,28,9,3
00036471,65,70,0,U,3,08,H,F,1,0,P,0,0,730,181,59,12098,0,28,37,33,1,3,A,1,0.1,18,0.111,20,2,1,17,20,54,84,8,10.5,15,20,5,20,6,15,17,65,10.5,3
00036484,125,72,0,C,2,28,H,F,1,0,B,0,2,962,357,92,19153,0,53,18,64,1,1,S,3,0.294,15,0.3,15,5,3,16,30,71,184,20,9.2,12,15,3,15,5,10,16,124,9.2,12
00036659,113,36,0,U,3,08,H,F,4,1,B,5,3,625,254,50,12541,0,27,7,36,1,1,S,4,0.2,13.75,0.222,12.5,4,2,16,27,72,170,16,10.63,10,15,5,10,6,15,15,113,10.63,8
00036661,125,86,0,U,3,09,U,F,1,1,B,3,6,817,259,45,16479,0,21,13,54,1,19,A,1,0.1,15,0,0,2,0,18,31,81,347.01,30,11.57,14.99,16,1.01,16,6,13,18,124,11.57,14
00036697,65,35,0,S,1,13,H,F,6,0,M,11,,1316,439,95,23179,0,50,22,68,0,0,A,1,0.067,15,0,0,1,0,25,15,41,37,5,7.4,10,15,5,15,4,9,25,64,7.4,2
00036777,41,,0,S,2,20,U,M,3,0,M,0,,739,318,88,13687,1,46,56,23,1,1,S,4,0.421,8,0.5,7.8,8,5,15,15,35,95,12,7.92,11,15,4,9,6,14,15,41,7.92,6
00036840,137,,0,S,2,20,H,F,5,1,B,15,,960,375,68,17495,1,27,29,37,1,0,A,1,0.111,7.5,0.143,10,2,1,19,28,71,107,20,5.35,8,10,2,10,4,11,19,126,5.35,11
00036939,137,70,0,C,2,27,U,F,,0,N,0,6,738,354,77,11119,6,25,52,12,0,0,A,1,0.071,20,0,0,1,0,19,27,62,81,8,10.13,15,20,5,20,6,15,19,107,10.13,2
00036992,17,37,0,R,1,42,H,M,5,0,P,0,,2200,258,33,16610,7,42,39,26,0,0,F,1,0.143,25,0.333,25,1,1,21,7,17,25,1,25,0,25,25,25,5,11,21,21,25,1
00037005,77,,0,T,2,38,U,F,1,1,B,4,6,1380,260,58,13011,60,13,24,32,0,0,A,4,0.222,9.25,0.375,9,4,3,16,16,41,63,8,7.88,5,10,5,10,6,15,15,75,7.88,5
00037090,77,67,0,S,3,21,H,M,5,1,P,0,5,1363,491,73,23656,0,14,35,18,0,0,A,1,0.095,16,0.1,16,2,1,25,22,54,137,10,13.7,10,20,10,16,6,11,25,65,13.7,4
00037202,41,85,0,S,2,20,H,F,2,1,B,1,,914,321,53,17804,0,32,22,46,1,0,A,1,0.2,14,0.273,12,4,3,21,17,39,77,7,11,15,20,5,20,6,12,21,45,11,4
00037258,77,46,0,C,1,23,H,M,7,1,B,3,9,732,302,72,17051,0,42,21,34,1,12,A,1,0.1,15,0.111,15,2,1,16,19,50,65,6,10.83,10,15,5,15,6,14,16,67,10.83,4
00037460,29,,0,S,2,18,U,F,,0,N,0,,966,422,84,18877,0,32,31,39,1,0,A,4,0.5,9.14,0.571,8.5,7,4,16,11,27,64,7,9.14,6,11,5,8,6,15,16,29,9.14,4
00037528,65,,0,U,3,08,U,F,,0,N,0,2,829,226,31,10281,0,6,28,17,0,0,A,3,0.2,8.33,0.167,5,3,1,22,16,43,41,6,6.83,7,10,3,10,6,12,22,64,6.83,3
00037697,89,76,0,U,1,03,H,M,6,1,B,5,6,906,351,43,18512,0,15,24,48,1,5,A,1,0.143,9,0.2,6,3,2,17,23,60,72,12,6,14,16,2,15,6,15,17,81,6,7
00037698,89,55,0,U,1,02,U,M,,1,N,0,,906,351,43,18512,0,20,39,18,1,1,S,2,0.111,22.5,0.143,25,2,1,20,20,52,107,7,15.29,20,25,5,25,6,13,20,78,15.29,5
00037785,137,77,0,U,4,10,H,F,2,1,B,51,0,517,161,36,8031,9,9,21,17,1,1,S,2,0.2,9.5,0.273,10,4,3,21,34,69,100.5,21,4.79,9.5,11,1.5,11,6,13,21,107,4.79,12
00038144,113,75,0,U,3,08,H,F,4,1,M,38,3,1292,394,87,24848,0,26,26,37,1,0,A,2,0.158,12.33,0.222,12,3,2,18,27,63,84,10,8.4,10,13,3,13,6,15,18,105,8.4,7
00038340,29,49,0,U,1,02,H,M,7,0,P,0,,1216,456,74,17051,0,20,18,38,1,0,N,3,0.273,8.33,0.75,8.33,3,3,15,8,22,25,3,8.33,5,10,5,10,5,13,15,25,8.33,3
00038632,137,47,0,S,1,12,H,F,4,0,P,0,8,860,458,72,19217,3,23,34,19,1,1,S,4,0.6,20.67,0.818,21,12,9,16,34,87,608,45,13.51,22,25,3,20,5,13,16,129,13.51,24
00038656,41,44,0,S,2,19,U,F,,1,N,0,,1025,408,56,16354,0,13,42,8,0,0,A,2,0.182,13.75,0.091,16,4,1,16,16,38,101,8,12.63,14,20,6,10,6,13,16,41,12.63,2
00038685,77,,0,U,4,10,U,F,,0,N,0,,902,244,58,12723,0,0,0,0,0,0,A,4,0.25,4.6,0.111,5,5,1,19,21,53,48,11,4.36,3,5,2,3,6,12,19,74,4.36,4
00038742,137,86,0,C,1,22,U,F,1,0,M,0,3,1286,373,72,30892,0,43,10,52,1,3,A,1,0.111,10,0.25,10,2,2,24,28,73,197,22,8.95,5,10,5,10,4,10,24,129,8.95,12
00038853,125,69,0,U,3,08,H,F,2,1,B,7,3,655,329,58,11645,0,31,0,63,1,6,A,1,0.158,12.33,0.2,12.5,3,2,26,30,74,127,20,6.35,12,15,3,12,4,9,26,125,6.35,13
00038857,17,23,0,U,4,10,U,F,1,0,P,0,,419,114,22,5320,0,11,9,25,0,0,F,1,0.2,50,0.5,50,1,1,17,6,14,50,1,50,0,50,50,50,5,11,17,17,50,1
00039006,137,37,0,U,2,04,H,F,1,1,B,9,,929,253,23,20256,0,11,33,15,1,1,S,3,0.35,5.29,0.222,6,7,2,17,28,69,69,18,3.83,5,7,2,5,5,12,17,127,3.83,10
00039020,41,49,0,S,1,14,U,M,5,0,P,0,,724,327,82,15784,1,35,45,17,0,0,A,1,0.063,15,0.167,15,1,1,21,10,30,25,2,12.5,5,15,10,15,4,10,21,41,12.5,2
00039155,29,82,0,C,2,29,H,M,2,1,B,0,,858,215,83,14013,0,40,8,81,0,0,N,1,0.1,15,0.25,15,1,1,24,6,15,15,1,15,0,15,15,15,3,7,24,24,15,1
00039538,137,76,0,C,2,26,U,M,,0,N,0,6,1125,326,53,20886,0,23,25,35,1,0,A,1,0.059,10,0,0,1,0,26,27,66,130,16,8.13,17,22,5,10,4,9,26,130,8.13,8
00039613,113,41,0,S,3,21,H,F,7,1,B,19,6,701,332,71,13020,0,29,37,19,0,0,A,3,0.143,14,0.1,14,3,1,24,27,66,135.59,14,9.69,11.59,16.59,5,10,6,13,18,111,9.69,6
00039712,17,,0,T,1,34,U,F,,0,N,0,,1697,471,78,26489,0,35,27,49,0,0,F,1,0.167,15,0,0,1,0,20,4,13,15,1,15,0,15,15,15,3,8,20,20,15,0
00039717,41,39,0,T,1,35,H,F,6,0,P,0,,1513,501,96,17339,1,27,51,18,0,0,A,2,0.105,20,0.111,20,2,1,21,14,34,55,4,13.75,15,20,5,10,6,13,18,41,13.75,2
00039795,29,66,0,T,1,34,U,M,3,1,M,0,,657,431,63,17660,0,23,31,45,0,0,A,1,0.118,12.5,0.286,12.5,2,2,22,10,27,25,2,12.5,5,15,10,15,4,11,22,33,12.5,2
00039935,29,37,0,C,3,33,U,M,4,1,B,0,,1464,305,84,22648,0,25,23,46,1,0,A,4,0.438,4.14,0.5,4,7,4,21,12,27,32,8,4,2,5,3,4,6,11,21,32,4,4
00040084,113,82,0,C,2,29,H,M,3,1,B,9,4,920,221,84,16753,0,38,12,73,0,0,A,2,0.167,12.67,0.222,12,3,2,18,26,62,88,10,8.8,9,14,5,14,6,13,18,105,8.8,7
00040113,17,81,0,C,1,23,H,M,6,1,B,0,,1373,419,82,23891,0,47,23,59,0,0,F,2,0.2,10,0,0,1,0,16,6,15,35,2,17.5,15,25,10,25,5,13,15,16,17.5,0
00040193,77,38,0,C,2,27,H,M,4,1,B,4,,996,352,79,16997,0,28,30,33,0,0,A,1,0.143,15,0,0,1,0,22,9,22,31,3,10.33,10,15,5,15,4,10,22,67,10.33,2
00040283,125,42,0,C,2,27,H,F,5,1,B,2,7,801,301,80,13339,1,37,13,44,1,1,S,2,0.136,35,0.091,30,3,1,18,33,78,228,15,15.2,48,50,2,25,6,13,18,124,15.2,9
00040341,65,73,0,S,2,18,H,F,5,1,B,1,8,902,410,93,15332,0,28,35,26,0,0,A,2,0.214,14.67,0.167,16,3,1,17,16,46,80,8,10,11,16,5,16,6,13,17,65,10,3
00040381,65,65,0,C,2,28,H,F,2,1,B,20,7,926,318,93,18005,0,53,18,64,1,1,S,4,0.278,8.4,0.25,7.5,5,2,16,18,48,74,9,8.22,5,10,5,7,6,14,16,65,8.22,4
00040637,125,65,0,C,3,31,H,F,4,0,P,0,,842,371,54,15842,0,0,0,0,1,1,S,3,0.273,19,0.364,19.75,6,4,22,30,65,250,20,12.5,21,24,3,24,6,13,22,124,12.5,11
00040691,89,70,0,C,2,25,U,F,5,1,P,0,7,906,296,31,16729,1,39,22,27,1,8,E,1,0.188,12.67,0.25,12.5,3,2,15,23,59,132,16,8.25,9,13,4,13,3,12,15,92,8.25,11
00040826,125,77,0,C,2,29,H,F,2,1,M,3,2,664,248,99,14535,0,52,0,96,1,1,S,4,0.238,8.8,0.273,5.67,5,3,16,32,80,248,28,8.86,15,20,5,5,6,14,16,123,8.86,10
00040867,77,55,0,S,2,17,H,F,2,0,B,0,6,796,309,58,15949,0,34,40,28,0,0,A,3,0.235,11,0.375,11.33,4,3,16,19,48,78,10,7.8,9,12,3,12,6,13,16,67,7.8,5
00041103,29,45,0,R,2,44,U,M,3,0,M,10,,956,348,95,13177,0,51,27,22,1,0,A,4,0.417,6,0.167,5,5,1,17,10,23,35,6,5.83,5,10,5,5,6,13,17,27,5.83,1
00041116,29,61,0,U,4,10,H,F,3,1,B,5,,404,197,66,8532,0,30,51,21,0,0,A,1,0.125,15,0,0,2,0,16,11,26,30,2,15,10,20,10,20,5,12,16,32,15,0
00041357,89,38,0,S,3,21,H,M,4,0,P,0,4,528,283,87,9939,0,22,30,16,0,0,A,2,0.105,15,0.125,15,2,1,16,17,42,55,5,11,10,15,5,15,5,12,16,83,11,2
00041396,89,62,0,S,3,21,H,F,4,1,B,20,3,607,267,66,9972,19,37,53,22,0,0,A,1,0.1,17,0.1,16,2,1,21,23,55,87,6,14.5,8,18,10,18,6,12,21,81,14.5,3
00041463,17,43,0,S,3,21,H,F,4,0,P,0,,325,281,61,7600,0,19,0,37,0,0,F,1,0.143,20,0,0,1,0,20,6,14,20,1,20,0,20,20,20,4,10,20,20,20,0
00041588,65,66,0,S,2,18,H,F,3,0,P,0,5,605,310,70,11829,1,25,37,17,1,11,A,1,0.15,13.33,0.1,5,3,1,18,21,51,80,8,10,15,20,5,20,6,15,18,64,10,4
00041691,137,50,0,S,2,16,H,F,4,1,B,0,3,593,223,73,12791,0,36,39,19,1,1,S,3,0.238,9.4,0.091,9,5,1,15,33,76,126,23,5.48,8,10,2,9,6,13,15,124,5.48,11
00041707,29,71,0,S,2,16,H,M,4,1,B,1,,559,250,88,10940,0,43,43,26,0,0,A,1,0.158,20,0.111,20,3,1,26,12,28,60,3,20,0,20,20,20,5,11,26,32,20,1
00041796,113,67,0,C,1,23,U,F,1,0,M,1,9,1518,485,87,28528,0,40,20,36,1,1,S,3,0.263,5.4,0.556,5.4,5,5,16,26,69,61,17,3.59,5,7,2,5,5,14,16,113,3.59,11
00041953,17,,0,U,3,09,U,M,3,1,M,0,,1792,302,44,26511,0,0,0,0,0,0,N,2,0.333,20,0,0,2,0,15,6,18,40,2,20,0,20,20,20,5,13,15,20,20,0
00042165,65,,0,T,2,40,U,M,,1,N,0,5,734,310,84,12868,0,39,31,41,0,0,A,2,0.143,18,0,0,3,0,18,20,53,99,6,16.5,10,20,10,19,6,13,18,65,16.5,1
00042176,137,83,0,C,2,26,H,F,2,1,B,5,5,759,299,63,15734,1,40,12,56,1,1,S,4,0.385,6,0.286,5,5,2,16,22,53,122,20,6.1,5,10,5,5,4,7,16,121,6.1,9
00042234,125,36,0,T,2,36,U,U,,1,N,0,4,423,282,76,11695,3,25,16,43,1,0,A,2,0.19,10.5,0.273,10,4,3,22,31,72,156,17,9.18,8,13,5,10,6,12,22,124,9.18,11
00042394,29,25,0,C,2,25,H,F,2,0,P,0,,785,273,26,15559,0,30,39,17,1,0,A,4,0.353,5.67,0.444,5,6,4,18,13,28,46,8,5.75,2,7,5,7,6,12,18,33,5.75,4
00042443,77,,0,R,2,43,U,F,1,1,P,0,9,750,258,91,8157,0,26,37,7,1,1,S,2,0.05,25,0,0,1,0,18,21,56,170,9,18.89,20,30,10,25,6,13,18,67,18.89,3
00042548,137,73,0,T,3,41,H,F,2,0,P,0,0,398,193,54,6768,0,24,8,59,1,10,A,1,0.105,11,0,0,2,0,18,28,68,114,13,8.77,10,13,3,11,5,14,18,126,8.77,9
00042577,41,,0,T,2,37,U,F,,0,N,0,,613,292,2,17412,0,64,4,81,0,0,A,4,0.143,2.5,0.286,2.5,2,2,21,12,27,33,9,3.67,3,5,2,5,6,12,16,41,3.67,5
00042600,137,48,0,C,3,32,H,U,2,1,B,7,0,395,116,47,5940,1,27,9,37,1,1,S,2,0.2,9.5,0.2,11.5,4,2,18,26,60,133,14,9.5,7,12,5,10,6,13,18,126,9.5,9
00042689,41,,0,C,2,29,U,F,,0,N,0,,711,267,79,15229,0,51,17,60,1,0,A,4,0.412,3.86,0.444,3.5,7,4,21,13,30,27,7,3.86,2,5,3,5,6,12,21,34,3.86,4
00042907,29,39,0,C,1,23,U,F,5,1,P,0,,1598,535,78,40300,0,64,0,80,0,0,A,1,0.133,10,0.333,10,2,2,24,9,23,20,2,10,10,15,5,15,4,10,24,32,10,2
00042937,113,50,0,R,2,46,H,M,5,0,P,0,5,944,316,81,13586,0,37,14,62,0,0,A,2,0.1,20,0.111,20,2,1,16,21,60,109,7,15.57,11,20,9,20,6,15,16,104,15.57,2
00042958,29,42,0,C,1,23,U,M,,1,N,0,,1667,352,76,23259,0,44,8,70,1,1,S,3,0.357,6.8,0.333,6,5,2,15,10,27,34,5,6.8,5,10,5,10,5,12,15,32,6.8,2
00043100,125,85,0,C,1,23,U,U,,1,N,0,9,2218,370,82,26089,0,60,15,76,1,1,S,3,0.278,4.4,0.375,4.67,5,3,17,29,67,71,19,3.74,2,5,3,5,5,12,17,125,3.74,14
00043152,17,68,0,C,2,29,H,M,4,1,B,1,,824,295,72,19138,0,61,11,68,0,0,F,1,0.143,15,0.333,15,1,1,21,5,14,15,1,15,0,15,15,15,3,9,21,21,15,1
00043187,53,68,0,C,1,23,H,F,4,1,B,6,,1730,448,89,29019,0,61,12,64,0,0,A,2,0.143,3.67,0,0,3,0,23,17,40,46,9,5.11,17,20,3,20,6,13,18,51,5.11,2
00043267,137,81,0,C,2,29,H,M,4,1,B,5,2,688,235,88,12397,0,42,18,66,1,1,S,3,0.278,3.4,0.25,4,5,2,18,29,78,94,26,3.62,3,6,3,3,4,11,18,130,3.62,17
00043492,137,,0,S,2,18,U,F,,0,N,0,,665,240,84,11939,0,51,10,56,1,1,S,2,0.133,12,0.143,11,2,1,18,23,51,84,12,7,11,13,2,13,6,14,18,109,7,10
00043549,65,,0,U,4,10,U,M,,0,N,0,,0,0,0,0,0,0,0,0,0,0,A,1,0.059,15,0,0,1,0,18,15,39,47,4,11.75,5,15,10,15,5,11,18,56,11.75,1
00043559,137,84,0,R,1,42,U,M,6,1,P,0,7,1322,355,79,14439,0,34,41,24,1,1,S,3,0.222,4.5,0.125,5,4,1,16,30,73,107,30,3.57,8,10,2,5,5,12,16,130,3.57,15
00043595,29,,0,T,2,40,U,M,,1,N,0,,684,461,94,17874,3,26,31,29,0,0,A,3,0.267,5.75,0.286,4,4,2,15,10,26,23,4,5.75,7,10,3,5,4,11,15,33,5.75,2
00043647,125,83,0,C,3,33,U,F,,0,N,0,2,328,198,83,9196,0,32,0,49,0,0,N,3,0.238,16,0.2,14.5,5,2,15,38,88,182,15,12.13,15,20,5,15,11,24,15,121,12.13,7
00043806,101,47,0,S,3,21,H,F,6,1,B,1,,615,260,87,10190,0,39,25,17,0,0,A,2,0.15,12.33,0.222,15,3,2,19,22,54,64,8,8,10,15,5,15,6,13,19,84,8,5
00044104,29,44,0,C,2,25,U,M,2,1,B,0,,641,253,44,13715,0,34,26,33,1,0,A,3,0.308,10.5,0.5,5.67,4,3,18,10,24,42,4,10.5,20,25,5,25,6,13,18,29,10.5,3
00044154,53,55,0,C,1,24,U,F,,1,N,0,8,1382,474,71,29415,0,39,46,51,0,0,A,1,0.071,20,0,0,1,0,26,12,32,30,2,15,10,20,10,20,4,10,26,53,15,1
00044326,113,73,0,C,2,29,H,M,2,0,B,12,4,677,242,95,13521,0,50,11,82,0,0,A,2,0.238,18.4,0.273,19,5,3,21,27,66,140,11,12.73,15,20,5,20,6,13,21,104,12.73,7
00044383,17,37,0,T,3,41,U,M,1,0,P,0,,442,140,62,7522,0,29,36,64,0,0,F,1,0.2,15,0.5,15,1,1,17,5,13,15,1,15,0,15,15,15,4,10,17,17,15,1
00044395,65,71,0,T,3,41,H,F,2,0,P,0,,583,231,80,10637,0,37,22,45,1,0,A,2,0.182,12,0.182,11.5,4,2,18,21,53,107,12,8.92,9,14,5,13,6,13,18,63,8.92,5
00044806,29,63,0,T,2,37,H,M,3,1,B,1,,867,215,86,17674,0,55,14,65,0,0,N,1,0.1,15,0.25,15,1,1,24,6,15,15,1,15,0,15,15,15,3,7,24,24,15,1
00044888,113,73,0,C,2,28,U,M,,0,N,0,2,880,209,76,11495,0,51,4,74,1,5,A,1,0.211,18.75,0.273,18.67,4,3,21,29,74,356,29,12.28,15,20,5,17,6,13,21,105,12.28,13
00044941,29,59,0,T,2,36,H,F,2,1,B,1,,908,187,76,9991,0,40,23,46,0,0,N,4,0.273,10.67,0.4,10,3,2,16,9,24,37,4,9.25,7,12,5,5,6,15,15,24,9.25,2
00045010,77,84,0,U,3,09,U,F,,0,N,0,3,818,238,47,11996,0,28,17,29,1,1,S,2,0.273,13.67,0.273,14.33,6,3,19,23,59,151,16,9.44,12,15,3,15,6,13,19,69,9.44,7
00045071,77,63,0,C,3,30,H,F,2,1,B,0,0,518,161,38,7258,0,35,11,41,1,1,S,3,0.167,5,0.25,5,3,2,20,21,57,96,19,5.05,1,6,5,5,5,11,20,75,5.05,9
00045084,89,41,0,S,3,21,H,F,4,1,B,0,4,597,278,84,13028,0,18,57,9,1,6,A,1,0.111,11.5,0.111,12,2,1,26,22,59,135,13,10.38,12,15,3,11,4,9,26,81,10.38,6
00045339,101,17,0,U,3,08,U,M,,0,N,0,6,645,288,82,12819,1,39,36,36,1,1,S,2,0.133,8.5,0,0,2,0,19,17,42,59,13,4.54,11,12,1,12,4,8,19,91,4.54,5
00045398,137,54,0,S,2,20,U,M,,1,N,0,6,722,349,80,17738,1,47,28,34,1,1,S,4,0.273,15.17,0.182,15.5,6,2,18,34,83,252,25,10.08,13,16,3,16,6,14,18,128,10.08,15
00045457,137,59,0,C,2,29,U,M,4,1,M,0,4,793,420,90,18785,2,32,34,34,1,0,A,1,0.158,10,0.1,10,3,1,18,31,71,130,16,8.13,11,14,3,10,5,13,18,121,8.13,8
00045680,65,51,0,C,3,33,H,M,4,1,B,3,1,566,218,88,11438,0,53,6,71,1,1,S,3,0.211,6.25,0.3,6.67,4,3,15,20,47,68,13,5.23,8,10,2,5,5,11,15,65,5.23,8
00045805,101,74,0,S,2,20,H,M,4,1,B,4,,1931,261,11,15550,0,38,31,45,1,1,S,2,0.2,8.67,0,0,3,0,18,18,47,88,16,5.5,8,10,2,10,4,8,18,101,5.5,7
00045971,29,27,0,R,2,46,U,M,5,0,P,0,,1155,328,88,15451,0,49,31,33,1,0,A,4,0.308,8.5,0.5,8,4,3,19,10,25,40,5,8,5,10,5,10,6,13,19,28,8,3
00046184,65,54,0,T,2,39,H,F,5,0,P,0,2,684,335,87,11637,0,26,33,29,1,11,A,1,0.095,16,0.182,16,2,2,17,21,51,72,7,10.29,12,17,5,17,6,13,17,56,10.29,6
